"Yaş grubu, cinsiyet ve eğitim durumuna göre ölümler, 2015-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Deaths by age group, sex and educational level, 2015-2023",,,,,,,,,,
[6 ve daha yukarı yaş-6 years of age and over],,,,,,,,,,
,,,,Eğitim durumu-Educational level,,,,,,
,,,,,,,"İlköğretim,",,,
,,,,,,,Ortaokul,,,
,,,,,,,veya dengi,,,
,,,,,Okuma yazma,,okul mezunu,    Lise veya,,
,,,,,bilen fakat,,Primary,     dengi,,
,,,,Okuma,bir okul,İlkokul,"education,",okul mezunu,Yüksek,
,,,,yazma,bitirmeyen,mezunu,Junior high,     High,öğretim,
Yıl,Yaş grubu,,Toplam,bilmeyen,No school,Primary,school and,school and,Higher,Bilinmeyen
Year,Age group,,Total,Illiterate,completed,school,equivalent, equivalent,education,Unknown
2023,,,,,,,,,,
,,Kadın-Female,1837,120,97,450,455,386,269,60
,,,,,,,,,,
,40-44,Erkek-Male,4743,113,59,768,1572,1415,693,123
,,Kadın-Female,2600,136,132,876,587,505,299,65
,,,,,,,,,,
,45-49,Erkek-Male,7757,130,81,1652,2866,1899,965,164
,,Kadın-Female,4067,236,221,1588,990,619,336,77
,,,,,,,,,,
,50-54,Erkek-Male,11728,181,164,2992,4356,2514,1281,240
,,Kadın-Female,5678,441,374,2546,1131,708,361,117
,,,,,,,,,,
,55-59,Erkek-Male,19591,300,380,6780,5871,4123,1755,382
,,Kadın-Female,9026,898,838,4523,1279,978,355,155
,,,,,,,,,,
,60-64,Erkek-Male,27840,598,849,12707,5988,4569,2536,593
,,Kadın-Female,12824,1871,1573,6476,1165,999,485,255
,,,,,,,,,,
,65-69,Erkek-Male,33391,988,1693,17844,5160,4186,2853,667
,,Kadın-Female,17433,3565,2944,8162,1051,891,473,347
,,,,,,,,,,
,70-74,Erkek-Male,38557,1885,3348,21827,4297,3391,2908,901
,,Kadın-Female,24784,7003,5342,9562,1021,838,523,495
,,,,,,,,,,
,75+,Erkek-Male,121261,15877,23791,60612,6168,6454,6133,2226
,,Kadın-Female,135615,57252,32640,34633,3190,3466,1517,2917
,,,,,,,,,,
2019,,,,,,,,,,
,Toplam,Toplam-Total,422825,83907,69469,163759,42589,33094,21038,8969
,Total,Erkek-Male,230781,18283,28825,105242,32774,24562,16473,4622
,,Kadın-Female,192044,65624,40644,58517,9815,8532,4565,4347
,,,,,,,,,,
,6-9,Erkek-Male,555,-,457,-,1,-,-,97
,,Kadın-Female,415,-,363,1,1,-,-,50
,,,,,,,,,,
,10-14,Erkek-Male,810,1,264,446,81,-,-,18
,,Kadın-Female,521,-,230,234,38,-,-,19
,,,,,,,,,,
,15-19,Erkek-Male,1768,8,258,69,1202,201,-,30
,,Kadın-Female,764,5,170,35,434,103,-,17
,,,,,,,,,,
,20-24,Erkek-Male,2175,24,210,29,992,738,147,35
,,Kadın-Female,779,28,122,17,275,239,79,19
,,,,,,,,,,
,25-29,Erkek-Male,2150,67,130,21,924,578,382,48
,,Kadın-Female,784,75,90,16,257,150,166,30
,,,,,,,,,,
,30-34,Erkek-Male,2247,77,81,139,791,685,422,52
,,Kadın-Female,1127,83,77,174,294,223,230,46
,,,,,,,,,,
,35-39,Erkek-Male,3110,87,73,485,1062,873,454,76
,,Kadın-Female,1716,103,98,478,383,337,261,56
,,,,,,,,,,
,40-44,Erkek-Male,4080,98,81,797,1367,1134,523,80
,,Kadın-Female,2260,132,111,774,543,383,245,72
,,,,,,,,,,
,45-49,Erkek-Male,6608,133,125,1526,2437,1480,777,130
,,Kadın-Female,3643,221,253,1471,809,519,304,66
,,,,,,,,,,
,50-54,Erkek-Male,10507,179,201,3042,3736,2099,1022,228
,,Kadın-Female,4937,392,367,2280,911,577,319,91
,,,,,,,,,,
,55-59,Erkek-Male,16534,305,426,6393,4559,3215,1301,335
,,Kadın-Female,7633,851,773,3847,951,747,307,157
,,,,,,,,,,
,60-64,Erkek-Male,22904,533,902,11141,4492,3220,2098,518
,,Kadın-Female,10789,1628,1597,5357,797,754,437,219
,,,,,,,,,,
,65-69,Erkek-Male,27076,958,1642,15114,3617,2942,2278,525
,,Kadın-Female,14412,3256,2627,6429,694,659,422,325
,,,,,,,,,,
,70-74,Erkek-Male,28889,1714,3013,16229,2802,2285,2201,645
,,Kadın-Female,19434,5717,4214,7256,697,703,424,423
,,,,,,,,,,
,75+,Erkek-Male,101368,14099,20962,49811,4711,5112,4868,1805
,,Kadın-Female,122830,53133,29552,30148,2731,3138,1371,2757
,,,,,,,,,,
2018,,,,,,,,,,
,Toplam,Toplam-Total,412184,85048,68560,159789,39373,31137,19640,8637
,Total,Erkek-Male,225222,18929,28939,103495,30582,23344,15450,4483
,,Kadın-Female,186962,66119,39621,56294,8791,7793,4190,4154
,,,,,,,,,,
,6-9,Erkek-Male,537,7,424,2,-,-,-,104
,,Kadın-Female,386,12,298,1,-,-,-,75
,,,,,,,,,,
,10-14,Erkek-Male,801,1,260,495,35,-,-,10
,,Kadın-Female,524,2,203,286,26,-,-,7
,,,,,,,,,,
,15-19,Erkek-Male,1931,9,267,278,1170,183,-,24
,,Kadın-Female,776,6,165,112,391,82,-,20
,,,,,,,,,,
,20-24,Erkek-Male,2439,29,245,31,1148,796,150,40
,,Kadın-Female,759,30,139,10,278,239,55,8
,,,,,,,,,,
,25-29,Erkek-Male,2436,77,147,19,1082,688,385,38
,,Kadın-Female,852,63,101,29,286,159,189,25
,,,,,,,,,,
,30-34,Erkek-Male,2496,76,99,294,818,737,420,52
,,Kadın-Female,1139,105,76,253,248,219,203,35
,,,,,,,,,,
,35-39,Erkek-Male,3271,85,71,632,1063,891,444,85
,,Kadın-Female,1631,113,78,517,336,290,244,53
,,,,,,,,,,
,40-44,Erkek-Male,4317,109,88,1000,1385,1079,557,99
,,Kadın-Female,2297,139,116,900,487,370,233,52
,,,,,,,,,,
,45-49,Erkek-Male,6508,125,105,1684,2269,1419,752,154
,,Kadın-Female,3453,237,216,1447,753,432,287,81
,,,,,,,,,,
,50-54,Erkek-Male,10781,197,240,3528,3538,2109,969,200
,,Kadın-Female,5072,490,370,2507,789,554,284,78
,,,,,,,,,,
,55-59,Erkek-Male,16118,315,455,6787,3966,3024,1241,330
,,Kadın-Female,7234,854,782,3728,746,705,292,127
,,,,,,,,,,
,60-64,Erkek-Male,22446,584,1022,11502,3929,2927,1980,502
,,Kadın-Female,10727,1944,1647,5168,701,664,375,228
,,,,,,,,,,
,65-69,Erkek-Male,26071,1050,1787,14817,3189,2605,2092,531
,,Kadın-Female,14299,3508,2714,6190,565,612,445,265
,,,,,,,,,,
,70-74,Erkek-Male,27815,1902,3281,15419,2570,2056,1968,619
,,Kadın-Female,18947,5977,4158,6819,595,609,377,412
,,,,,,,,,,
,75+,Erkek-Male,97255,14363,20448,47007,4420,4830,4492,1695
,,Kadın-Female,118866,52639,28558,28327,2590,2858,1206,2688
,,,,,,,,,,
2017,,,,,,,,,,
,Toplam,Toplam-Total,411787,88706,70404,157757,38135,29576,18602,8607
,Total,Erkek-Male,225496,20542,30907,103005,29720,22181,14718,4423
,,Kadın-Female,186291,68164,39497,54752,8415,7395,3884,4184
,,,,,,,,,,
,6-9,Erkek-Male,604,17,516,1,-,-,-,70
,,Kadın-Female,398,21,322,-,-,-,-,55
,,,,,,,,,,
,10-14,Erkek-Male,860,-,304,496,48,-,-,12
,,Kadın-Female,525,1,213,274,30,-,-,7
,,,,,,,,,,
,15-19,Erkek-Male,2166,12,314,312,1261,245,-,22
,,Kadın-Female,816,11,175,123,387,106,-,14
,,,,,,,,,,
,20-24,Erkek-Male,2583,42,253,29,1258,807,166,28
,,Kadın-Female,814,43,145,11,292,251,56,16
,,,,,,,,,,
,25-29,Erkek-Male,2605,95,170,32,1102,732,408,66
,,Kadın-Female,842,72,82,21,294,165,174,34
,,,,,,,,,,
,30-34,Erkek-Male,2634,92,85,345,886,757,380,89
,,Kadın-Female,1167,87,74,306,255,223,184,38
,,,,,,,,,,
,35-39,Erkek-Male,3338,105,85,679,1070,927,397,75
,,Kadın-Female,1811,130,109,621,333,363,210,45
,,,,,,,,,,
,40-44,Erkek-Male,4543,106,86,1092,1576,1056,546,81
,,Kadın-Female,2378,142,143,966,506,354,216,51
,,,,,,,,,,
,45-49,Erkek-Male,6682,115,129,1821,2369,1379,730,139
,,Kadın-Female,3300,226,222,1424,687,427,260,54
,,,,,,,,,,
,50-54,Erkek-Male,11014,223,243,3758,3532,2057,985,216
,,Kadın-Female,5216,514,456,2590,736,560,274,86
,,,,,,,,,,
,55-59,Erkek-Male,15696,346,466,7007,3529,2711,1285,352
,,Kadın-Female,6947,870,820,3623,644,595,286,109
,,,,,,,,,,
,60-64,Erkek-Male,22261,665,1041,11796,3733,2729,1848,449
,,Kadın-Female,10437,2041,1672,5004,565,583,395,177
,,,,,,,,,,
,65-69,Erkek-Male,25501,1156,1953,14559,2996,2361,1921,555
,,Kadın-Female,14185,3778,2874,5847,519,493,379,295
,,,,,,,,,,
,70-74,Erkek-Male,27606,2156,3421,15323,2312,1944,1841,609
,,Kadın-Female,18882,6175,4280,6636,545,576,305,365
,,,,,,,,,,
,75+,Erkek-Male,97403,15412,21841,45755,4048,4476,4211,1660
,,Kadın-Female,118573,54053,27910,27306,2622,2699,1145,2838
,,,,,,,,,,
2016,,,,,,,,,,
,Toplam,Toplam-Total,406878,90844,70756,154379,35875,28640,18301,8083
,Total,Erkek-Male,222872,21728,31600,101731,27761,21561,14593,3898
,,Kadın-Female,184006,69116,39156,52648,8114,7079,3708,4185
, ,,,,,,,,,
,6-9,Erkek-Male,654,36,509,-,-,-,-,109
,,Kadın-Female,443,31,322,-,-,-,-,90
,,,,,,,,,,
,10-14,Erkek-Male,927,-,347,519,59,-,-,2
,,Kadın-Female,606,-,276,295,31,-,-,4
,,,,,,,,,,
,15-19,Erkek-Male,2408,22,355,174,1662,177,-,18
,,Kadın-Female,880,16,196,62,519,75,-,12
,,,,,,,,,,
,20-24,Erkek-Male,2956,52,319,26,1435,925,172,27
,,Kadın-Female,896,58,163,14,328,238,78,17
,,,,,,,,,,
,25-29,Erkek-Male,2873,98,167,68,976,979,524,61
,,Kadın-Female,955,83,80,61,317,199,191,24
,,,,,,,,,,
,30-34,Erkek-Male,2878,94,107,507,871,726,472,101
,,Kadın-Female,1176,108,83,341,206,235,182,21
,,,,,,,,,,
,35-39,Erkek-Male,3450,85,92,768,993,945,504,63
,,Kadın-Female,1789,129,108,658,350,296,211,37
,,,,,,,,,,
,40-44,Erkek-Male,4488,107,91,1185,1399,1032,593,81
,,Kadın-Female,2444,159,133,1048,487,345,242,30
,,,,,,,,,,
,45-49,Erkek-Male,6385,117,138,1951,2071,1246,719,143
,,Kadın-Female,3244,266,251,1462,585,419,220,41
,,,,,,,,,,
,50-54,Erkek-Male,11490,257,277,4346,3252,2148,982,228
,,Kadın-Female,5364,584,508,2656,730,570,241,75
,,,,,,,,,,
,55-59,Erkek-Male,15237,363,453,7313,3113,2508,1182,305
,,Kadın-Female,6814,966,801,3513,565,587,288,94
,,,,,,,,,,
,60-64,Erkek-Male,22125,790,1113,12086,3322,2571,1857,386
,,Kadın-Female,10626,2181,1763,5026,600,558,320,178
,,,,,,,,,,
,65-69,Erkek-Male,24795,1259,2027,14291,2674,2162,1880,502
,,Kadın-Female,14075,3930,2871,5656,505,493,341,279
,,,,,,,,,,
,70-74,Erkek-Male,27333,2364,3818,14922,2078,1852,1804,495
,,Kadın-Female,19113,6658,4346,6395,515,509,278,412
,,,,,,,,,,
,75+,Erkek-Male,94873,16084,21787,43575,3856,4290,3904,1377
,,Kadın-Female,115581,53947,27255,25461,2376,2555,1116,2871
,,,,,,,,,,
2015,,,,,,,,,,
,Toplam,Toplam-Total,388686,86583,68597,145108,32673,25672,15786,14267
,Total,Erkek-Male,212907,21207,31504,96666,25316,19218,12613,6383
,,Kadın-Female,175779,65376,37093,48442,7357,6454,3173,7884
, ,,,,,,,,,
,6-9,Erkek-Male,660,30,540,-,-,-,-,90
,,Kadın-Female,447,16,352,-,-,-,-,79
,,,,,,,,,,
,10-14,Erkek-Male,986,1,344,568,69,-,-,4
,,Kadın-Female,557,1,237,282,33,-,-,4
,,,,,,,,,,
,15-19,Erkek-Male,2273,25,379,67,1625,160,1,16
,,Kadın-Female,880,26,221,45,507,71,-,10
,,,,,,,,,,
,20-24,Erkek-Male,2526,85,288,-,1160,814,139,40
,,Kadın-Female,821,72,165,-,304,210,52,18
,,,,,,,,,,
,25-29,Erkek-Male,2454,88,183,126,840,788,340,89
,,Kadın-Female,899,81,117,82,254,209,125,31
,,,,,,,,,,
,30-34,Erkek-Male,2675,102,92,514,853,676,335,103
,,Kadın-Female,1154,92,86,382,214,197,153,30
,,,,,,,,,,
,35-39,Erkek-Male,2994,85,73,777,840,780,361,78
,,Kadın-Female,1637,115,90,630,307,294,168,33
,,,,,,,,,,
,40-44,Erkek-Male,4295,105,97,1239,1381,900,468,105
,,Kadın-Female,2401,197,141,1016,464,328,203,52
,,,,,,,,,,
,45-49,Erkek-Male,6439,143,157,2083,2127,1185,590,154
,,Kadın-Female,3238,267,238,1553,519,365,221,75
,,,,,,,,,,
,50-54,Erkek-Male,10987,210,291,4461,2853,2048,808,316
,,Kadın-Female,5036,554,492,2564,608,504,208,106
,,,,,,,,,,
,55-59,Erkek-Male,16024,355,591,7895,3079,2285,1317,502
,,Kadın-Female,7097,1084,927,3546,559,530,259,192
,,,,,,,,,,
,60-64,Erkek-Male,19916,646,1206,10964,2742,2170,1564,624
,,Kadın-Female,9627,2030,1681,4344,493,471,305,303
,,,,,,,,,,
,65-69,Erkek-Male,23578,1277,2222,13474,2336,1910,1683,676
,,Kadın-Female,13659,3993,2836,5168,482,404,304,472
,,,,,,,,,,
,70-74,Erkek-Male,26122,2320,3999,14149,1753,1552,1466,883
,,Kadın-Female,18594,6554,4320,5890,445,470,257,658
,,,,,,,,,,
,75+,Erkek-Male,90978,15735,21042,40349,3658,3950,3541,2703
,,Kadın-Female,109732,50294,25190,22940,2168,2401,918,5821
,,,,,,,,,,
Kaynak: Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü,,,,,,,,,,
               Sağlık Bakanlığı,,,,,,,,,,
Source: General Directorate of Civil Registration and Citizenship Affairs,,,,,,,,,,
              Ministry of Health,,,,,,,,,,
(r) Ölüm verileri güncel idari kayıtlarla revize edilmiştir.,,,,,,,,,,
(r) Death data were revised with updated administrative records.,,,,,,,,,,
- Bilgi yoktur.,,,,,,,,,,
- Denotes magnitude null.,,,,,,,,,,
