"İl ve cinsiyete göre bebek ölümleri, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Infant deaths by province and sex, 2009-2023",,,,,,,,,,,,,,,,
[İkametgah yerine göre-By the place of usual residence],,,,,,,,,,,,,,,,
,,Yıl-Year,,,,,,,,,,,,,,
,Erkek-Male,82,70.0,79.0,65.0,38.0,43.0,44.0,39.0,50.0,37.0,21.0,22,27,36,15.0
,Kadın-Female,67,52.0,45.0,44.0,40.0,37.0,25.0,31.0,40.0,28.0,35.0,17,22,35,20.0
,,,,,,,,,,,,,,,,
Rize,Toplam-Total,41,48.0,35.0,50.0,25.0,36.0,22.0,37.0,39.0,34.0,23.0,37,28,23,28.0
,Erkek-Male,24,25.0,21.0,24.0,13.0,24.0,9.0,21.0,26.0,22.0,16.0,19,21,18,18.0
,Kadın-Female,17,23.0,14.0,26.0,12.0,12.0,13.0,16.0,13.0,12.0,7.0,18,7,5,10.0
,,,,,,,,,,,,,,,,
Sakarya,Toplam-Total,223,163.0,157.0,154.0,114.0,116.0,126.0,112.0,138.0,112.0,83.0,106,93,70,85.0
,Erkek-Male,132,82.0,80.0,74.0,66.0,63.0,66.0,73.0,83.0,61.0,50.0,57,50,33,50.0
,Kadın-Female,91,81.0,77.0,80.0,48.0,53.0,60.0,39.0,55.0,51.0,33.0,49,43,37,35.0
,,,,,,,,,,,,,,,,
Samsun,Toplam-Total,233,204.0,152.0,196.0,157.0,179.0,140.0,126.0,125.0,145.0,133.0,113,106,103,105.0
,Erkek-Male,128,108.0,99.0,102.0,84.0,89.0,83.0,77.0,67.0,73.0,65.0,69,57,56,61.0
,Kadın-Female,105,96.0,53.0,94.0,73.0,90.0,57.0,49.0,58.0,72.0,68.0,44,49,47,44.0
,,,,,,,,,,,,,,,,
Siirt,Toplam-Total,144,129.0,174.0,152.0,130.0,142.0,129.0,119.0,107.0,114.0,105.0,94,110,113,72.0
,Erkek-Male,74,58.0,75.0,84.0,67.0,81.0,66.0,67.0,53.0,62.0,57.0,51,56,63,42.0
,Kadın-Female,70,71.0,99.0,68.0,63.0,61.0,63.0,52.0,54.0,52.0,48.0,43,54,50,30.0
,,,,,,,,,,,,,,,,
Sinop,Toplam-Total,39,35.0,32.0,30.0,23.0,22.0,18.0,19.0,15.0,17.0,14.0,17,18,18,14.0
,Erkek-Male,22,19.0,14.0,15.0,15.0,13.0,9.0,12.0,8.0,6.0,9.0,11,10,13,6.0
,Kadın-Female,17,16.0,18.0,15.0,8.0,9.0,9.0,7.0,7.0,11.0,5.0,6,8,5,8.0
,,,,,,,,,,,,,,,,
Sivas,Toplam-Total,146,116.0,122.0,100.0,109.0,80.0,105.0,82.0,82.0,55.0,72.0,64,65,78,47.0
,Erkek-Male,81,67.0,66.0,64.0,66.0,49.0,57.0,42.0,42.0,31.0,31.0,38,34,42,24.0
,Kadın-Female,65,49.0,56.0,36.0,43.0,31.0,48.0,40.0,40.0,24.0,41.0,26,31,36,23.0
,,,,,,,,,,,,,,,,
Tekirdağ,Toplam-Total,149,109.0,113.0,106.0,108.0,137.0,97.0,96.0,123.0,112.0,109.0,97,84,85,107.0
,Erkek-Male,86,53.0,70.0,63.0,59.0,73.0,52.0,48.0,70.0,58.0,66.0,52,42,45,60.0
,Kadın-Female,63,56.0,43.0,43.0,49.0,64.0,45.0,48.0,53.0,54.0,43.0,45,42,40,47.0
,,,,,,,,,,,,,,,,
Tokat,Toplam-Total,186,146.0,146.0,103.0,75.0,91.0,78.0,76.0,62.0,53.0,52.0,42,40,46,47.0
,Erkek-Male,101,89.0,91.0,60.0,44.0,45.0,40.0,40.0,34.0,31.0,24.0,26,23,20,24.0
,Kadın-Female,85,57.0,55.0,43.0,31.0,46.0,38.0,36.0,28.0,22.0,28.0,16,17,26,23.0
,,,,,,,,,,,,,,,,
Trabzon,Toplam-Total,109,100.0,89.0,103.0,99.0,103.0,92.0,72.0,91.0,73.0,59.0,68,70,66,64.0
,Erkek-Male,61,74.0,50.0,49.0,52.0,55.0,47.0,46.0,37.0,42.0,27.0,34,41,38,34.0
,Kadın-Female,48,26.0,39.0,54.0,47.0,48.0,45.0,26.0,54.0,31.0,32.0,34,29,28,30.0
,,,,,,,,,,,,,,,,
